Ano;mês;Detalhe 1;Detalhe 2;Chave;chave 2;Chamadas recebidas;Chamadas atendidas;% Abandonos;% Conversão Agendamentos;Agendamento Identificado;Oferta de Consultas;Oferta de Consultas 1.ª Vez;Consultas Agendadas;Encaixes (Consultas);Faltas;Consultas Atendidas;Consultas 1.ª Vez Atendidas;Planos Terapeuticos Cirurgicos;Planos Terapeuticos Clinicos;Planos Terapeuticos Total;Exame Solicitado 1;Exame Solicitado 2;Oferta de Exames;Exames Agendados;Faltas (Exames);Exames Realizados;Cirurgias Realizadas;Cirurgias Realizadas (Horas);Capacidade total Centro Cirurgico; Oferta dos CCs (Horas);Cirurgias Canceladas;Ocupação Centro Cirurgico;Leitos Operacionais;Leitos Operacionais x (Mês);Internações (Total);Internações Eletivas;Internações Emergência;Pacientes Dia;Rampas; SLA Emergencia; Contador Emergencia; Qtde AltasMéd ; AltasMéd até 12h ;Soma de Assert. AltaMéd (2); Previsão AltaMéd (2);Solicitações QT Internados;Internações QT;Oferta QT;Realizado QT;Ciclos RXT Programados;Ciclos RXT Iniciados;Oferta RT;NPS;Soma de Atend;Soma de Tempo 30;Soma de Tempo 60;Exame Solicitado Acumulado;Exames Realizados Acumulado;Plano Terapeutico QT Acumulado;Internação QT acumulado;Planos Terapeuticos Cirurgicos Acumulado;Cirurgias Realizadas Acumulado;;
2020;jan-20;Antonio Prudente;Broncoscopia;202043831Antonio PrudenteBroncoscopia;Antonio PrudenteBroncoscopia;;;;;;;;;;;;;;;;;19;43;37;31;6;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;19;6;;;;;;
2020;jan-20;Antonio Prudente;Cirurgia Abdominal;202043831Antonio PrudenteCirurgia Abdominal;Antonio PrudenteCirurgia Abdominal;;;;;;805;263;606;63;57;542;46;68;4;72;6;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;475;54;7;0;0;;;75;23;;
2020;jan-20;Antonio Prudente;Cirurgia de Cabeça e Pescoço;202043831Antonio PrudenteCirurgia de Cabeça e Pescoço;Antonio PrudenteCirurgia de Cabeça e Pescoço;;;;;;2491;615;2000;225;263;1732;147;175;17;192;693;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;1462;143;46;0;0;;;203;63;;
2020;jan-20;Antonio Prudente;Cirurgia plástica e reparadora;202043831Antonio PrudenteCirurgia plástica e reparadora;Antonio PrudenteCirurgia plástica e reparadora;;;;;;197;34;170;19;11;159;22;107;1;108;139;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;123;50;27;0;0;;;197;49;;
2020;jan-20;Antonio Prudente;Cirurgia Torácica;202043831Antonio PrudenteCirurgia Torácica;Antonio PrudenteCirurgia Torácica;;;;;;379;117;284;18;27;256;15;36;0;36;138;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;238;20;7;0;0;;;38;10;;
2020;jan-20;Antonio Prudente;Cirurgia Vascular;202043831Antonio PrudenteCirurgia Vascular;Antonio PrudenteCirurgia Vascular;;;;;;;;;;;;;99;3;102;;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;132;46;;
2020;jan-20;Antonio Prudente;Coleda;202043831Antonio PrudenteColeda;Antonio PrudenteColeda;;;;;;;;;;;;;;;;;;111;105;91;14;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;14;;;;;;
2020;jan-20;Antonio Prudente;Colonoscopia;202043831Antonio PrudenteColonoscopia;Antonio PrudenteColonoscopia;;;;;;;;;;;;;;;;;470;912;593;289;304;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;470;304;;;;;;
2020;jan-20;Antonio Prudente;Densitometria;202043831Antonio PrudenteDensitometria;Antonio PrudenteDensitometria;;;;;;;;;;;;;;;;;;717;318;31;287;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;287;;;;;;
2020;jan-20;Antonio Prudente;Dermatologia;202043831Antonio PrudenteDermatologia;Antonio PrudenteDermatologia;;;;;;;;;;;;;8;0;8;;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;277;29;;
